x y z nx ny nz
0.0291229221 -0.1002874652 -0.0153716501 0.0174270000 -0.9993140000 0.0326740000
0.0370849221 -0.1003004652 -0.0153966501 -0.0094900000 -0.9995880000 0.0270740000
0.0449189221 -0.0997704652 -0.0152426501 0.2960470000 -0.9547820000 -0.0273460000
0.0493739221 -0.0981604652 -0.0130306501 0.6374550000 -0.7655420000 -0.0871620000
-0.0476390779 -0.0945604652 -0.0145106501 -0.9702750000 0.1302210000 -0.2039830000
-0.0463500779 -0.0918984652 -0.0166766501 -0.9477620000 0.2284090000 -0.2226580000
0.0486139221 -0.0976204652 -0.0177056501 0.5256540000 -0.8469990000 -0.0792570000
0.0521739221 -0.0941394652 -0.0150266501 0.8353010000 -0.5388010000 -0.1093880000
-0.0469610779 -0.0893554652 -0.0117336501 -0.9511000000 0.2588280000 -0.1685720000
-0.0450640779 -0.0857784652 -0.0151646501 -0.9349010000 0.2893940000 -0.2054560000
0.0542429221 -0.0861274652 -0.0147946501 0.9938770000 0.0174640000 -0.1091060000
-0.0421990779 -0.0781064652 -0.0152296501 -0.8698820000 0.4267430000 -0.2473770000
-0.0359350779 -0.0742594652 -0.0178816501 -0.2422230000 0.8636950000 -0.4419940000
-0.0286860779 -0.0741864652 -0.0179936501 -0.1444400000 0.9702150000 -0.1944760000
0.0483329221 -0.0745314652 -0.0183636501 0.7291400000 0.5865340000 -0.3526080000
0.0523789221 -0.0780624652 -0.0145286501 0.9026660000 0.3799130000 -0.2021410000
-0.0397740779 -0.0730254652 -0.0130176501 -0.6429720000 0.7235330000 -0.2511700000
-0.0349080779 -0.0722994652 -0.0145376501 -0.1931550000 0.9270600000 -0.3213260000
-0.0267570779 -0.0718064652 -0.0146996501 -0.1040390000 0.9523030000 -0.2868700000
-0.0186560779 -0.0698304652 -0.0147686501 -0.3195240000 0.8992740000 -0.2986800000
-0.0113630779 -0.0700474652 -0.0154496501 -0.3956740000 0.8906310000 -0.2240940000
-0.0038920779 -0.0686344652 -0.0154846501 -0.3418150000 0.9029340000 -0.2605240000
0.0052819221 -0.0674484652 -0.0152306501 -0.1053360000 0.9704560000 -0.2170710000
0.0119409221 -0.0668784652 -0.0165876501 -0.2559290000 0.9005410000 -0.3514640000
0.0474849221 -0.0699454652 -0.0141896501 0.8925220000 0.3484010000 -0.2863930000
0.0497279221 -0.0730254652 -0.0121096501 0.8661530000 0.4972050000 -0.0506520000
0.0141959221 -0.0628344652 -0.0141216501 -0.7050500000 0.4676580000 -0.5331040000
0.0187129221 -0.0648754652 -0.0184386501 -0.2698010000 0.7752410000 -0.5711460000
0.0465879221 -0.0608754652 -0.0130056501 0.9517630000 0.0100860000 -0.3066700000
0.0124909221 -0.0540244652 -0.0133966501 -0.8991870000 -0.2482280000 -0.3603410000
0.0473669221 -0.0530424652 -0.0127126501 0.9636470000 -0.0501330000 -0.2624340000
0.0081179221 -0.0429774652 -0.0121236501 -0.9331990000 -0.2422390000 -0.2654440000
0.0103309221 -0.0468334652 -0.0135706501 -0.8870600000 -0.2760400000 -0.3700360000
0.0477069221 -0.0455114652 -0.0126736501 0.9591400000 -0.0419610000 -0.2798030000
0.0072299221 -0.0377824652 -0.0127796501 -0.9214040000 -0.1941150000 -0.3366510000
0.0103609221 -0.0384994652 -0.0164096501 -0.8365900000 -0.1896290000 -0.5139630000
0.0478179221 -0.0376294652 -0.0133526501 0.9528750000 0.0184760000 -0.3028000000
0.0060889221 -0.0295474652 -0.0132656501 -0.9249910000 -0.1300770000 -0.3570330000
0.0467939221 -0.0296164652 -0.0137136501 0.9509190000 0.0957920000 -0.2942380000
0.0054059221 -0.0220624652 -0.0135446501 -0.9400720000 -0.0861990000 -0.3299010000
0.0460959221 -0.0213314652 -0.0136046501 0.9403890000 0.1976610000 -0.2767640000
0.0043209221 -0.0138624652 -0.0132396501 -0.9450900000 -0.1507580000 -0.2899620000
0.0412119221 -0.0105964652 -0.0177476501 0.8820780000 0.2273240000 -0.4126280000
0.0442599221 -0.0139744652 -0.0134546501 0.9326730000 0.2174400000 -0.2878210000
-0.0162240779 -0.0023584652 -0.0116736501 -0.3109210000 -0.9494280000 -0.0437520000
-0.0088930779 -0.0042704652 -0.0123716501 -0.2498830000 -0.9643170000 -0.0874760000
-0.0028500779 -0.0052374652 -0.0126256501 -0.3383050000 -0.9360190000 -0.0970430000
0.0026759221 -0.0080084652 -0.0132556501 -0.7913230000 -0.5709000000 -0.2188150000
0.0406619221 -0.0043344652 -0.0156496501 0.8962360000 0.2631190000 -0.3571110000
