x y z normal_x normal_y normal_z
0.0063134267 -0.0299198943 -0.0283835188 -0.0392622607 0.2115962680 -0.9756076678
0.0374891726 0.0148734911 -0.0109091941 -0.9589562803 -0.2803799746 0.0334326701
-0.0281353426 0.0385638450 -0.0128131042 -0.6324417545 0.7744950055 -0.0000000000
0.0312310365 -0.0198258648 0.0230159859 -0.7941952174 0.6069352206 0.0134270813
0.0177406320 0.0450099171 -0.0166819914 0.3940665535 0.9187465404 -0.0000000000
0.0315549369 -0.0278198995 0.0113951233 0.7032031742 -0.7108814421 -0.0000000000
-0.0194452637 -0.0362162702 0.0351872797 -0.4379908362 -0.8986467424 -0.0000000000
0.0448151123 0.0040948157 -0.0114745844 0.9999117075 0.0032983698 -0.0000000000
0.0328456171 0.0253132922 -0.0029638352 -0.8370960540 -0.5467310307 0.0119859729
-0.0348408438 0.0317672672 -0.0063178302 -0.7824434918 0.6224570666 -0.0000000000
-0.0392425433 -0.0171744827 -0.0091521786 -0.8808858500 -0.4725504658 -0.0000000000
0.0117446492 -0.0393225602 0.0252399749 0.3120944245 -0.9499900168 -0.0003592177
-0.0356788907 -0.0116390044 -0.0052577949 0.9165761642 0.3990318166 0.0151137869
0.0160917117 0.0414131911 0.0377528318 -0.3736833335 -0.8770464176 0.3008868175
0.0145156470 0.0462476898 0.0305057653 0.3219160607 0.9465151838 -0.0000000000
0.0274316886 -0.0233916576 -0.0300475307 -0.4387675136 0.4394061048 -0.7829107757
0.0068268688 -0.0503769891 0.0283251524 0.8010538315 -0.0132032989 0.5655973319
-0.0060042240 -0.0328205257 -0.0216331392 0.1339820038 0.7988404783 0.5717766965
0.0029035622 -0.0402901854 0.0396374088 0.0487467674 -0.7240827180 0.6559315503
0.0097399799 -0.0397270956 0.0035994956 0.2190350062 -0.9754621867 0.0039830239
-0.0337900932 0.0294148675 0.0399205858 0.2500512437 -0.1867355483 0.9431839916
-0.0166731282 -0.0313069862 -0.0044454067 0.4300376262 0.9023117147 0.0140060956
0.0314233246 -0.0194499779 -0.0022945484 -0.8006684070 0.5985470215 0.0110734003
0.0398395535 0.0062275562 -0.0313698259 -0.7237639769 -0.0417715845 -0.6790822685
-0.0441526765 0.0098952294 0.0340806756 -0.9907585884 0.1331106695 -0.0000000000
-0.0199740334 -0.0279360887 -0.0208942060 0.4781407954 0.7564106836 0.4282721948
-0.0304206585 0.0278338201 -0.0142205609 0.7856757157 -0.6143074879 0.0659052904
0.0271338359 -0.0250623897 0.0317386896 -0.6763401340 0.7266793327 0.1163054640
0.0286680565 0.0383256413 -0.0045248988 0.6386632524 0.7691667606 -0.0000000000
0.0417167935 0.0202874040 0.0038753610 0.9305868699 0.3656405148 -0.0000000000
-0.0379736394 0.0272792211 0.0312093431 -0.8524590610 0.5220905041 -0.0000000000
0.0392325001 0.0119911760 -0.0315187347 -0.5990572938 -0.1221738090 -0.7815379711
0.0384776703 0.0113827052 -0.0032456653 -0.9813187977 -0.1902970272 0.0123702482
